Time,mongodb
2025-12-20 18:59:00,220913664
2025-12-20 19:00:00,221052928
2025-12-20 19:01:00,220950528
2025-12-20 19:02:00,220925952
2025-12-20 19:03:00,220938240
2025-12-20 19:04:00,221073408
2025-12-20 19:05:00,503136256
2025-12-20 19:06:00,221138944
2025-12-20 19:07:00,221270016
2025-12-20 19:08:00,232636416
2025-12-20 19:09:00,221143040
2025-12-20 19:10:00,389783552
2025-12-20 19:11:00,221184000
2025-12-20 19:12:00,360034304
2025-12-20 19:13:00,221085696
2025-12-20 19:14:00,221184000
2025-12-20 19:15:00,221347840
2025-12-20 19:16:00,221532160
2025-12-20 19:17:00,221437952
2025-12-20 19:18:00,221663232
2025-12-20 19:19:00,221851648
2025-12-20 19:20:00,221683712
2025-12-20 19:21:00,221634560
2025-12-20 19:22:00,221642752
2025-12-20 19:23:00,221888512
2025-12-20 19:24:00,386031616
2025-12-20 19:25:00,222109696
2025-12-20 19:26:00,222105600
2025-12-20 19:27:00,222240768
2025-12-20 19:28:00,222334976
2025-12-20 19:29:00,222244864
2025-12-20 19:30:00,222277632
2025-12-20 19:31:00,222334976
2025-12-20 19:32:00,222556160
2025-12-20 19:33:00,222892032
2025-12-20 19:34:00,223281152
2025-12-20 19:35:00,223891456
2025-12-20 19:36:00,223875072
2025-12-20 19:37:00,514297856
2025-12-20 19:38:00,534155264
2025-12-20 19:39:00,223928320
2025-12-20 19:40:00,223703040
2025-12-20 19:41:00,500830208
2025-12-20 19:42:00,223756288
2025-12-20 19:43:00,223920128
2025-12-20 19:44:00,224178176
2025-12-20 19:45:00,224727040
2025-12-20 19:46:00,224829440
2025-12-20 19:47:00,224714752
2025-12-20 19:48:00,224800768
2025-12-20 19:49:00,225423360
2025-12-20 19:50:00,357228544
2025-12-20 19:51:00,226459648
2025-12-20 19:52:00,226676736
2025-12-20 19:53:00,226660352
2025-12-20 19:54:00,226811904
2025-12-20 19:55:00,226770944
2025-12-20 19:56:00,226856960
2025-12-20 19:57:00,227131392
2025-12-20 19:58:00,410329088
2025-12-20 19:59:00,227745792
