Time,postgresql
2025-12-20 18:59:00,85524480
2025-12-20 19:00:00,85528576
2025-12-20 19:01:00,85524480
2025-12-20 19:02:00,85524480
2025-12-20 19:03:00,85532672
2025-12-20 19:04:00,85532672
2025-12-20 19:05:00,85540864
2025-12-20 19:06:00,85540864
2025-12-20 19:07:00,85958656
2025-12-20 19:08:00,86069248
2025-12-20 19:09:00,86200320
2025-12-20 19:10:00,86069248
2025-12-20 19:11:00,85549056
2025-12-20 19:12:00,85872640
2025-12-20 19:13:00,85880832
2025-12-20 19:14:00,85880832
2025-12-20 19:15:00,85999616
2025-12-20 19:16:00,86007808
2025-12-20 19:17:00,85733376
2025-12-20 19:18:00,85733376
2025-12-20 19:19:00,85413888
2025-12-20 19:20:00,86753280
2025-12-20 19:21:00,85422080
2025-12-20 19:22:00,85434368
2025-12-20 19:23:00,85442560
2025-12-20 19:24:00,85549056
2025-12-20 19:25:00,85549056
2025-12-20 19:26:00,85557248
2025-12-20 19:27:00,85557248
2025-12-20 19:28:00,85557248
2025-12-20 19:29:00,85557248
2025-12-20 19:30:00,85565440
2025-12-20 19:31:00,86790144
2025-12-20 19:32:00,85565440
2025-12-20 19:33:00,85565440
2025-12-20 19:34:00,85479424
2025-12-20 19:35:00,85479424
2025-12-20 19:36:00,85483520
2025-12-20 19:37:00,91512832
2025-12-20 19:38:00,85479424
2025-12-20 19:39:00,85479424
2025-12-20 19:40:00,85479424
2025-12-20 19:41:00,85491712
2025-12-20 19:42:00,85487616
2025-12-20 19:43:00,85487616
2025-12-20 19:44:00,85143552
2025-12-20 19:45:00,85192704
2025-12-20 19:46:00,85192704
2025-12-20 19:47:00,85192704
2025-12-20 19:48:00,85192704
2025-12-20 19:49:00,85192704
2025-12-20 19:50:00,85200896
2025-12-20 19:51:00,85200896
2025-12-20 19:52:00,85200896
2025-12-20 19:53:00,85254144
2025-12-20 19:54:00,85266432
2025-12-20 19:55:00,85254144
2025-12-20 19:56:00,85254144
2025-12-20 19:57:00,85127168
2025-12-20 19:58:00,85131264
2025-12-20 19:59:00,85127168
