Time,qdrant
2025-12-20 18:59:00,18423808
2025-12-20 19:00:00,18423808
2025-12-20 19:01:00,18423808
2025-12-20 19:02:00,18501632
2025-12-20 19:03:00,18423808
2025-12-20 19:04:00,18722816
2025-12-20 19:05:00,18440192
2025-12-20 19:06:00,18440192
2025-12-20 19:07:00,18440192
2025-12-20 19:08:00,18436096
2025-12-20 19:09:00,18436096
2025-12-20 19:10:00,18436096
2025-12-20 19:11:00,18436096
2025-12-20 19:12:00,18432000
2025-12-20 19:13:00,18386944
2025-12-20 19:14:00,18403328
2025-12-20 19:15:00,18575360
2025-12-20 19:16:00,18575360
2025-12-20 19:17:00,18722816
2025-12-20 19:18:00,18743296
2025-12-20 19:19:00,18378752
2025-12-20 19:20:00,18673664
2025-12-20 19:21:00,18317312
2025-12-20 19:22:00,18374656
2025-12-20 19:23:00,18677760
2025-12-20 19:24:00,18735104
2025-12-20 19:25:00,18595840
2025-12-20 19:26:00,18485248
2025-12-20 19:27:00,18440192
2025-12-20 19:28:00,18694144
2025-12-20 19:29:00,18341888
2025-12-20 19:30:00,18329600
2025-12-20 19:31:00,18685952
2025-12-20 19:32:00,18755584
2025-12-20 19:33:00,18776064
2025-12-20 19:34:00,18841600
2025-12-20 19:35:00,18767872
2025-12-20 19:36:00,18354176
2025-12-20 19:37:00,18350080
2025-12-20 19:38:00,18354176
2025-12-20 19:39:00,18350080
2025-12-20 19:40:00,18341888
2025-12-20 19:41:00,18653184
2025-12-20 19:42:00,18526208
2025-12-20 19:43:00,18644992
2025-12-20 19:44:00,18554880
2025-12-20 19:45:00,18841600
2025-12-20 19:46:00,18726912
2025-12-20 19:47:00,18403328
2025-12-20 19:48:00,18620416
2025-12-20 19:49:00,18722816
2025-12-20 19:50:00,18599936
2025-12-20 19:51:00,18546688
2025-12-20 19:52:00,18792448
2025-12-20 19:53:00,18391040
2025-12-20 19:54:00,18702336
2025-12-20 19:55:00,18731008
2025-12-20 19:56:00,18755584
2025-12-20 19:57:00,18726912
2025-12-20 19:58:00,18558976
2025-12-20 19:59:00,18628608
