Time,api-gateway
2025-12-20 18:59:00,312930304
2025-12-20 19:00:00,312938496
2025-12-20 19:01:00,313061376
2025-12-20 19:02:00,313069568
2025-12-20 19:03:00,313085952
2025-12-20 19:04:00,313126912
2025-12-20 19:05:00,312999936
2025-12-20 19:06:00,313135104
2025-12-20 19:07:00,313016320
2025-12-20 19:08:00,313155584
2025-12-20 19:09:00,313151488
2025-12-20 19:10:00,313188352
2025-12-20 19:11:00,313176064
2025-12-20 19:12:00,313069568
2025-12-20 19:13:00,313229312
2025-12-20 19:14:00,313229312
2025-12-20 19:15:00,313257984
2025-12-20 19:16:00,313208832
2025-12-20 19:17:00,313212928
2025-12-20 19:18:00,313237504
2025-12-20 19:19:00,313290752
2025-12-20 19:20:00,313470976
2025-12-20 19:21:00,313352192
2025-12-20 19:22:00,313372672
2025-12-20 19:23:00,313565184
2025-12-20 19:24:00,313774080
2025-12-20 19:25:00,313786368
2025-12-20 19:26:00,313819136
2025-12-20 19:27:00,313704448
2025-12-20 19:28:00,313876480
2025-12-20 19:29:00,313872384
2025-12-20 19:30:00,313802752
2025-12-20 19:31:00,313823232
2025-12-20 19:32:00,313888768
2025-12-20 19:33:00,313917440
2025-12-20 19:34:00,314056704
2025-12-20 19:35:00,313942016
2025-12-20 19:36:00,313942016
2025-12-20 19:37:00,314122240
2025-12-20 19:38:00,314122240
2025-12-20 19:39:00,314023936
2025-12-20 19:40:00,314023936
2025-12-20 19:41:00,314028032
2025-12-20 19:42:00,314056704
2025-12-20 19:43:00,314220544
2025-12-20 19:44:00,314236928
2025-12-20 19:45:00,314134528
2025-12-20 19:46:00,314257408
2025-12-20 19:47:00,314277888
2025-12-20 19:48:00,314281984
2025-12-20 19:49:00,314175488
2025-12-20 19:50:00,314298368
2025-12-20 19:51:00,314183680
2025-12-20 19:52:00,314179584
2025-12-20 19:53:00,314298368
2025-12-20 19:54:00,314191872
2025-12-20 19:55:00,314318848
2025-12-20 19:56:00,314318848
2025-12-20 19:57:00,314130432
2025-12-20 19:58:00,314273792
2025-12-20 19:59:00,314351616
