Time,api-gateway
2025-12-20 18:59:00,0.00148
2025-12-20 19:00:00,0.00159
2025-12-20 19:01:00,0.00151
2025-12-20 19:02:00,0.00401
2025-12-20 19:03:00,0.00399
2025-12-20 19:04:00,0.00212
2025-12-20 19:05:00,0.00225
2025-12-20 19:06:00,0.00176
2025-12-20 19:07:00,0.00317
2025-12-20 19:08:00,0.00185
2025-12-20 19:09:00,0.00283
2025-12-20 19:10:00,0.00564
2025-12-20 19:11:00,0.00350
2025-12-20 19:12:00,0.00521
2025-12-20 19:13:00,0.00221
2025-12-20 19:14:00,0.00489
2025-12-20 19:15:00,0.00955
2025-12-20 19:16:00,0.00218
2025-12-20 19:17:00,0.00209
2025-12-20 19:18:00,0.00771
2025-12-20 19:19:00,0.00374
2025-12-20 19:20:00,0.00186
2025-12-20 19:21:00,0.00183
2025-12-20 19:22:00,0.00288
2025-12-20 19:23:00,0.00252
2025-12-20 19:24:00,0.00218
2025-12-20 19:25:00,0.00494
2025-12-20 19:26:00,0.00341
2025-12-20 19:27:00,0.00332
2025-12-20 19:28:00,0.00167
2025-12-20 19:29:00,0.00149
2025-12-20 19:30:00,0.00248
2025-12-20 19:31:00,0.00452
2025-12-20 19:32:00,0.00529
2025-12-20 19:33:00,0.00244
2025-12-20 19:34:00,0.00377
2025-12-20 19:35:00,0.00149
2025-12-20 19:36:00,0.00235
2025-12-20 19:37:00,0.00175
2025-12-20 19:38:00,0.00147
2025-12-20 19:39:00,0.00177
2025-12-20 19:40:00,0.00230
2025-12-20 19:41:00,0.00244
2025-12-20 19:42:00,0.00410
2025-12-20 19:43:00,0.00428
2025-12-20 19:44:00,0.00326
2025-12-20 19:45:00,0.00202
2025-12-20 19:46:00,0.00407
2025-12-20 19:47:00,0.00214
2025-12-20 19:48:00,0.00815
2025-12-20 19:49:00,0.00256
2025-12-20 19:50:00,0.00191
2025-12-20 19:51:00,0.00175
2025-12-20 19:52:00,0.00267
2025-12-20 19:53:00,0.00205
2025-12-20 19:54:00,0.00252
2025-12-20 19:55:00,0.00369
2025-12-20 19:56:00,0.00371
2025-12-20 19:57:00,0.00402
2025-12-20 19:58:00,0.00308
2025-12-20 19:59:00,0.00284
