Time,qdrant
2025-12-20 18:59:00,0.00233
2025-12-20 19:00:00,0.00221
2025-12-20 19:01:00,0.00231
2025-12-20 19:02:00,0.00228
2025-12-20 19:03:00,0.00241
2025-12-20 19:04:00,0.00239
2025-12-20 19:05:00,0.00227
2025-12-20 19:06:00,0.00236
2025-12-20 19:07:00,0.00230
2025-12-20 19:08:00,0.00223
2025-12-20 19:09:00,0.00226
2025-12-20 19:10:00,0.00225
2025-12-20 19:11:00,0.00228
2025-12-20 19:12:00,0.00244
2025-12-20 19:13:00,0.00236
2025-12-20 19:14:00,0.00249
2025-12-20 19:15:00,0.00247
2025-12-20 19:16:00,0.00242
2025-12-20 19:17:00,0.00230
2025-12-20 19:18:00,0.00240
2025-12-20 19:19:00,0.00235
2025-12-20 19:20:00,0.00231
2025-12-20 19:21:00,0.00241
2025-12-20 19:22:00,0.00233
2025-12-20 19:23:00,0.00235
2025-12-20 19:24:00,0.00239
2025-12-20 19:25:00,0.00243
2025-12-20 19:26:00,0.00240
2025-12-20 19:27:00,0.00241
2025-12-20 19:28:00,0.00237
2025-12-20 19:29:00,0.00233
2025-12-20 19:30:00,0.00230
2025-12-20 19:31:00,0.00245
2025-12-20 19:32:00,0.00240
2025-12-20 19:33:00,0.00247
2025-12-20 19:34:00,0.00237
2025-12-20 19:35:00,0.00227
2025-12-20 19:36:00,0.00224
2025-12-20 19:37:00,0.00235
2025-12-20 19:38:00,0.00226
2025-12-20 19:39:00,0.00241
2025-12-20 19:40:00,0.00237
2025-12-20 19:41:00,0.00245
2025-12-20 19:42:00,0.00241
2025-12-20 19:43:00,0.00240
2025-12-20 19:44:00,0.00239
2025-12-20 19:45:00,0.00231
2025-12-20 19:46:00,0.00226
2025-12-20 19:47:00,0.00240
2025-12-20 19:48:00,0.00240
2025-12-20 19:49:00,0.00245
2025-12-20 19:50:00,0.00241
2025-12-20 19:51:00,0.00237
2025-12-20 19:52:00,0.00243
2025-12-20 19:53:00,0.00234
2025-12-20 19:54:00,0.00226
2025-12-20 19:55:00,0.00236
2025-12-20 19:56:00,0.00233
2025-12-20 19:57:00,0.00245
2025-12-20 19:58:00,0.00244
2025-12-20 19:59:00,0.00243
